question,facts,results,precision,recall
["How many units follow the US Navy Department's command structure?"],"['http://dbpedia.org/ontology/commandStructure,http://dbpedia.org/ontology/MilitaryUnit,']",[' [        "http://dbpedia.org/ontology/commandStructure"    ]'],['1.0'],['1.0']
['Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores ?'],"['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/university,']","[' [        ""http://dbpedia.org/ontology/university"",         ""http://dbpedia.org/ontology/almaMater""    ]']",['1.0'],['1.0']
['Which license provider of MSX basic is also the designer of Language Integrated Query ?'],"['http://dbpedia.org/ontology/designer,http://dbpedia.org/property/license,']",[' [        "http://dbpedia.org/ontology/designer"    ]'],['1.0'],['1.0']
['What are the awards received by spouse of Ellen Lundstrom?'],"['http://dbpedia.org/ontology/spouse,http://dbpedia.org/property/awards,']",[],,
['Is Plymouth High School for Girls in Devon county?'],"['http://dbpedia.org/ontology/county,']",[' [        "http://dbpedia.org/ontology/county"    ]'],['1.0'],['1.0']
['In which city is the hub airport of Club One Air?'],"['http://dbpedia.org/ontology/hubAirport,http://dbpedia.org/property/cityServed,']",[' [        "http://dbpedia.org/ontology/hubAirport"    ]'],['1.0'],['1.0']
['List the first drivers of Grand Prixes where Mika Hakkinen was a pole driver.'],"['http://dbpedia.org/ontology/poleDriver,http://dbpedia.org/ontology/firstDriver,http://dbpedia.org/ontology/GrandPrix,']",[],,
['Who is the designer of Saleen S5S Raptor ?'],"['http://dbpedia.org/property/designer,']",[],,
['Name some TV shows whose theme is made by a band associated with Buckethead?'],"['http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0']
['How many different people hold authority over the members of Balanidae family?'],"['http://dbpedia.org/ontology/family,http://dbpedia.org/ontology/binomialAuthority,']",[' [        "http://dbpedia.org/ontology/family"    ]'],['1.0'],['1.0']
["Which fields' academic journals are found in the US?"],"['http://dbpedia.org/ontology/country,http://dbpedia.org/property/discipline,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
["Which basketball team's coach is Kurt Rambis?"],"['http://dbpedia.org/ontology/coach,']",[' [        "http://dbpedia.org/property/coach"    ]'],['0.0'],['0.0']
['How many other region served are there of the companies which serves  Pacific Ocean ?'],"['http://dbpedia.org/ontology/regionServed,http://dbpedia.org/ontology/regionServed,']",[],,
['Name the alma mater of Ernest de Saisset ?'],"['http://dbpedia.org/ontology/almaMater,']",[' [        "http://dbpedia.org/ontology/almaMater"    ]'],['1.0'],['1.0']
['Whose constituency is Duboce Triangle ?'],"['http://dbpedia.org/property/constituency,']",[],,
['Name the office holder with predecessor as Mark Latham and partner Tim Mathieson ?'],"['http://dbpedia.org/property/predecessor,http://dbpedia.org/ontology/partner,http://dbpedia.org/ontology/OfficeHolder,']","[' [        ""http://dbpedia.org/ontology/partner"",         ""http://dbpedia.org/ontology/predecessor""    ]']",['0.666666666667'],['1.0']
['What are some party leaders of the parties which have had a seat in Berlin?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/PoliticalParty,']",[' [        "http://dbpedia.org/property/leader"    ]'],['0.0'],['0.0']
['What is the location city of the Denver Broncos which is also  place of birth of the William C. Cramer ?'],"['http://dbpedia.org/ontology/locationCity,http://dbpedia.org/property/placeOfBirth,']",[' [        "http://dbpedia.org/ontology/locationCity"    ]'],['1.0'],['1.0']
["Which video game's artist is Hiroji Kiyotake and computing platform is Virtual Console?"],"['http://dbpedia.org/property/artist,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/VideoGame,']","[' [        ""http://dbpedia.org/property/artist"",         ""http://dbpedia.org/ontology/computingPlatform""    ]']",['1.0'],['1.0']
['List the characters of Lysistrata ?'],"['http://dbpedia.org/property/characters,']",[],,
['Where is the office of P Elmo Futrell Jr?'],"['http://dbpedia.org/property/office,']",[],,
["What is the baseball team whose club manager's debut team is Houston Astros?"],"['http://dbpedia.org/ontology/debutTeam,http://dbpedia.org/ontology/manager,http://dbpedia.org/ontology/BaseballTeam,']","[' [        ""http://dbpedia.org/ontology/team"",         ""http://dbpedia.org/property/team""    ]']",['0.333333333333'],['0.5']
['List the producer of the television shows distributed by FremantleMedia.'],"['http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
["What stadium's operator is Stan Kroenke"],"['http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Stadium,']",[],,
['List all binomial authority of the insects whose one of the  binomial authority is douard Mntries?'],"['http://dbpedia.org/ontology/binomialAuthority,http://dbpedia.org/ontology/binomialAuthority,']",[],,
['In which state is Red Willow Creek?'],"['http://dbpedia.org/ontology/state,']",[' [        "http://dbpedia.org/ontology/state"    ]'],['1.0'],['1.0']
['Where does Manu cornet work?'],"['http://dbpedia.org/property/employer,']",[],,
['Name the resting place of Fazlur Rahman Khan ?'],"['http://dbpedia.org/ontology/restingPlace,']",[' [        "http://dbpedia.org/ontology/restingPlace"    ]'],['1.0'],['1.0']
['What is the famous relative of Mrunalini Kunte known for?'],"['http://dbpedia.org/property/relatives,http://dbpedia.org/property/knownFor,']",[],,
['What is the resting place of the person who is the successor of James W. Hyatt ?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/ontology/Person,']",[],,
["What politician's partner is Diana Taylor ?"],"['http://dbpedia.org/ontology/partner,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/ontology/partner"    ]'],['1.0'],['1.0']
['What is the district of Methodist Central Hall Westminster ?'],"['http://dbpedia.org/ontology/district,']",[' [        "http://dbpedia.org/ontology/district"    ]'],['1.0'],['1.0']
['What is the academic journal whose editor is Stephen Law?'],"['http://dbpedia.org/property/editor,http://dbpedia.org/ontology/AcademicJournal,']",[],,
['List the people died in Hyderabad and are a member of political party ?'],"['http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/party,']",[' [        "http://dbpedia.org/property/deathPlace"    ]'],['0.5'],['1.0']
['Is Esther Alder the mayor of Geneva?'],"['http://dbpedia.org/property/mayor,']",[],,
,,[],,
,,[],,
["Which architect of Marine Corps Air Station Kaneohe Bay was also tenant of New Sanno hotel /'"],"['http://dbpedia.org/property/architect,http://dbpedia.org/ontology/tenant,']",[' [        "http://dbpedia.org/ontology/architect"    ]'],['0.5'],['1.0']
['Where does the Jerusalem Institute of Justice render their services?'],"['http://dbpedia.org/ontology/service,']",[' [        "http://dbpedia.org/ontology/service"    ]'],['1.0'],['1.0']
['Which political party got elected in First Legislative Assembly of Uttar Pradesh ?'],"['http://dbpedia.org/property/party,']",[' [        "http://dbpedia.org/property/party"    ]'],['1.0'],['1.0']
"['How many companies were founded in Menlo Park, California?']","['http://dbpedia.org/property/foundation,http://dbpedia.org/ontology/Company,']",[],,
["What is the television show whose channel's parent organisation is Fox Sports?"],"['http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/channel,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/channel"",         ""http://dbpedia.org/property/country""    ]']",['0.666666666667'],['1.0']
['Which bands are associated to David Paton?'],"['http://dbpedia.org/ontology/associatedBand,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0']
['Who wrote a streetcar named desire?'],"['http://dbpedia.org/property/writer,']",[],,
['Who is the president when Loretta Ucelli used to work for Democratic party?'],"['http://dbpedia.org/ontology/president,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['1.0'],['1.0']
['What are the players whose former teams are Carolina Panthers and Indianapolis Colts?'],"['http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/formerTeam,']","[' [        ""http://dbpedia.org/ontology/formerTeam"",         ""http://dbpedia.org/property/team""    ]']",['1.0'],['1.0']
['How many basketball players studied in the Midland College?'],"['http://dbpedia.org/ontology/college,http://dbpedia.org/ontology/BasketballPlayer,']",[' [        "http://dbpedia.org/ontology/college"    ]'],['1.0'],['1.0']
['Rickenbacker is a musical instrument played by which artists?'],"['http://dbpedia.org/ontology/instrument,http://dbpedia.org/ontology/MusicalArtist,']",[' [        "http://dbpedia.org/ontology/instrument"    ]'],['1.0'],['1.0']
['Deion sanders and Hinkey haines debuted their career with which common team?'],"['http://dbpedia.org/property/debutteam,http://dbpedia.org/property/debutteam,']",[],,
['Is Liang Chow the headcoach of Shawn Johnson?'],"['http://dbpedia.org/property/headcoach,']",[],,
['In which television shows has Eliza Schneider given her voice?'],"['http://dbpedia.org/property/voices,http://dbpedia.org/ontology/TelevisionShow,']",[],,
["From which country is Lawrence Okoye's nationality ?"],"['http://dbpedia.org/property/nationality,']",[],,
['What is the base currency of Benelux ?'],"['http://dbpedia.org/property/currency,']",[],,
['Where did Steve Romeo dies ?'],"['http://dbpedia.org/ontology/deathPlace,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.5'],['1.0']
['What is the government type of Ancient Rome ?'],"['http://dbpedia.org/ontology/governmentType,']",[' [        "http://dbpedia.org/ontology/type"    ]'],['0.0'],['0.0']
['Who are the animator of The Skeleton Dance?'],"['http://dbpedia.org/ontology/animator,']",[' [        "http://dbpedia.org/ontology/animator"    ]'],['1.0'],['1.0']
['What is the birth location of the pope who was canonized by Agatha of Sicily?'],"['http://dbpedia.org/ontology/canonizedBy,http://dbpedia.org/property/birthPlace,http://dbpedia.org/ontology/Pope,']",[' [        "http://dbpedia.org/ontology/leader"    ]'],['0.0'],['0.0']
['Which destination of the Novair International Airways is also the  predecessor of the Chevrolet Caprice?'],"['http://dbpedia.org/ontology/destination,http://dbpedia.org/ontology/predecessor,']","[' [        ""http://dbpedia.org/ontology/predecessor"",         ""http://dbpedia.org/ontology/destination""    ]']",['1.0'],['1.0']
['What are some scientists who have stateless citizenship?'],"['http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/citizenship"    ]'],['1.0'],['1.0']
['List the doctoral students of Harry Harlow ?'],"['http://dbpedia.org/property/doctoralStudents,']",[],,
['Name whose youth club was FC Barcelona ?'],"['http://dbpedia.org/property/youthclubs,']",[' [        "http://dbpedia.org/property/club"    ]'],['0.0'],['0.0']
['Which religion does the leader of Church and Wellesley follow?'],"['http://dbpedia.org/property/leaderName,http://dbpedia.org/ontology/religion,']",[],,
['What is the citizenship of Erastus Wiman ?'],"['http://dbpedia.org/ontology/citizenship,']",[' [        "http://dbpedia.org/ontology/citizenship"    ]'],['1.0'],['1.0']
['Does the Amazon River start in Arequipa Region?'],"['http://dbpedia.org/property/sourceRegion,']",[],,
['Which is the nearest city to Elliott Bay ?'],"['http://dbpedia.org/ontology/nearestCity,']",[' [        "http://dbpedia.org/ontology/nearestCity"    ]'],['1.0'],['1.0']
['What are the movies whose screenplay is done by Eric Roth?'],"['http://dbpedia.org/property/screenplay,http://dbpedia.org/ontology/Film,']",[],,
['List the movie whose music was given by Geoffrey Burgon and distributed by Cinema International Corporation?'],"['http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/distributor,http://dbpedia.org/ontology/Film,']","[' [        ""http://dbpedia.org/ontology/musicComposer"",         ""http://dbpedia.org/property/writer""    ]']",['0.666666666667'],['1.0']
['Which series has an episode called The lost special and also a character named Sherlock Holmes ?'],"['http://dbpedia.org/property/series,http://dbpedia.org/property/characters,']",[],,
['What cities are near to Nihoa which is also known as Bird Island ?'],"['http://dbpedia.org/property/nearestCity,']",[],,
['How many cities are around the sea in which the the fig tree bay meets?'],"['http://dbpedia.org/ontology/inflow,http://dbpedia.org/property/cities,http://dbpedia.org/ontology/Sea,']",[' [        "http://dbpedia.org/ontology/sea"    ]'],['0.0'],['0.0']
['Count the number of families of the Animal kingdom.'],"['http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/family,']",[' [        "http://dbpedia.org/ontology/kingdom"    ]'],['1.0'],['1.0']
['Which magazine has publisher as Jann Wenner?'],"['http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/Magazine,']",[' [        "http://dbpedia.org/ontology/publisher"    ]'],['1.0'],['1.0']
['What are the broadcast areas of Mauritius Broadcasting Corporation?'],"['http://dbpedia.org/property/broadcastArea,']",[],,
"['Where is the ground of the soccer club, which has Alan Kusov as a team member ?']","['http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/ground,http://dbpedia.org/ontology/SoccerClub,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
['which president was served by Joseph Stiglitz?'],"['http://dbpedia.org/property/president,']",[],,
